id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
548110,Dryocopus,javensis,,White-bellied Woodpecker,Mandar Bhagat,India,"krishnapur Trail, North Goa, Goa",15.5404,74.2278,170,drumming,//www.xeno-canto.org/548110,//www.xeno-canto.org/548110/download,XC548110-White-bellied woodpecker Drumming 24.02.2019 046.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AYVZLXCRDU/ffts/XC548110-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AYVZLXCRDU/ffts/XC548110-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AYVZLXCRDU/ffts/XC548110-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AYVZLXCRDU/ffts/XC548110-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:15,10:00,2019-02-24,2020-04-19,[''],,yes,no
501345,Dryocopus,javensis,parvus,White-bellied Woodpecker,Frank Lambert,Indonesia,"Teupah Selatan, Kabupaten Simeulue, Aceh",2.3814,96.3509,60,drumming,//www.xeno-canto.org/501345,//www.xeno-canto.org/501345/download,XC501345-Dryocopus_javensis_parvus-FL drum Simeulue 1Sept19 10.39am LS117742a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501345-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501345-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501345-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501345-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:39,10:39,2019-09-01,2019-10-07,[''],,yes,no
501343,Dryocopus,javensis,parvus,White-bellied Woodpecker,Frank Lambert,Indonesia,"Teupah Selatan, Kabupaten Simeulue, Aceh",2.3814,96.3509,60,call,//www.xeno-canto.org/501343,//www.xeno-canto.org/501343/download,XC501343-Dryocopus_javensis_parvus-FL pair response Simeulue 1Sept19 7.29am LS117713a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501343-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501343-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501343-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501343-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:20,07:29,2019-09-01,2019-10-07,[''],Pair,yes,yes
501342,Dryocopus,javensis,parvus,White-bellied Woodpecker,Frank Lambert,Indonesia,"Teupah Selatan, Kabupaten Simeulue, Aceh",2.3814,96.3509,60,call,//www.xeno-canto.org/501342,//www.xeno-canto.org/501342/download,XC501342-Dryocopus_javensis_parvus-FL 2 calls Simeulue 1Sept19 11.20am LS117751a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501342-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501342-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501342-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501342-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:02,11:20,2019-09-01,2019-10-07,[''],Pair,yes,no
501341,Dryocopus,javensis,parvus,White-bellied Woodpecker,Frank Lambert,Indonesia,"Teupah Selatan, Kabupaten Simeulue, Aceh",2.3814,96.3509,60,call,//www.xeno-canto.org/501341,//www.xeno-canto.org/501341/download,XC501341-Dryocopus_javensis_parvus-FL 2 calls Simeulue 1Sept19 11.19am LS117750a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501341-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501341-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501341-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC501341-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,3:29,11:19,2019-09-01,2019-10-07,[''],Pair,yes,no
490563,Dryocopus,javensis,parvus,White-bellied Woodpecker,Ross Gallardy,Indonesia,"Linggi, Simeulue",2.4987,96.3256,50,call,//www.xeno-canto.org/490563,//www.xeno-canto.org/490563/download,XC490563-SimeulueWoodpecker_Simeulue_071119_rattle.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490563-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490563-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490563-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490563-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,08:00,2019-07-12,2019-08-05,[''],,yes,no
490562,Dryocopus,javensis,parvus,White-bellied Woodpecker,Ross Gallardy,Indonesia,"Linggi, Simeulue",2.4987,96.3256,50,call,//www.xeno-canto.org/490562,//www.xeno-canto.org/490562/download,XC490562-SimeulueWoodpecker_Simeulue_071119_call3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490562-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490562-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490562-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490562-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,08:00,2019-07-12,2019-08-05,[''],,yes,no
490561,Dryocopus,javensis,parvus,White-bellied Woodpecker,Ross Gallardy,Indonesia,"Linggi, Simeulue",2.4987,96.3256,50,call,//www.xeno-canto.org/490561,//www.xeno-canto.org/490561/download,XC490561-SimeulueWoodpecker_Simeulue_071119_call2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490561-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490561-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490561-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490561-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,08:00,2019-07-12,2019-08-05,[''],,yes,no
490560,Dryocopus,javensis,parvus,White-bellied Woodpecker,Ross Gallardy,Indonesia,"Linggi, Simeulue",2.4987,96.3256,50,call,//www.xeno-canto.org/490560,//www.xeno-canto.org/490560/download,XC490560-SimeulueWoodpecker_Simeulue_071119_call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490560-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490560-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490560-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC490560-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:48,08:00,2019-07-12,2019-08-05,[''],,yes,no
476588,Dryocopus,javensis,javensis,White-bellied Woodpecker,Ding Li Yong,Malaysia,"Taman Negara, Pahang",4.3864,102.4017,100,call,//www.xeno-canto.org/476588,//www.xeno-canto.org/476588/download,XC476588-White-bellied Woodpecker_Taman Negara_DLY.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC476588-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC476588-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC476588-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC476588-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:52,08:00,2017-08-31,2019-05-25,[''],,no,no
473592,Dryocopus,javensis,hodgsonii,White-bellied Woodpecker,Frank Lambert,India,"Thattekad Bird Sanctuary--Urulanthanni, Idukki County, Kerala",10.1274,76.7546,60,song,//www.xeno-canto.org/473592,//www.xeno-canto.org/473592/download,XC473592-Dryocopus_javensis_hodgsonii-FL song Thattekad  3Feb16 8.09am LS119813_2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC473592-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC473592-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC473592-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC473592-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:34,08:09,2016-02-03,2019-05-12,[''],,unknown,no
434181,Dryocopus,javensis,,White-bellied Woodpecker,Jason Bugay Reyes,Malaysia,"Beaufort, Bahagian Pedalaman, Sabah",5.2355,115.5813,20,call,//www.xeno-canto.org/434181,//www.xeno-canto.org/434181/download,XC434181-180908_0518S3 WHITE-BELLIED WOODPECKER.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EXRPOCMOXC/ffts/XC434181-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EXRPOCMOXC/ffts/XC434181-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EXRPOCMOXC/ffts/XC434181-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EXRPOCMOXC/ffts/XC434181-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:23,10:30,2018-09-08,2018-09-15,[''],,no,no
400610,Dryocopus,javensis,,White-bellied Woodpecker,Patrick David,India,"Idukki, Kerala",9.5649,77.1909,900,call,//www.xeno-canto.org/400610,//www.xeno-canto.org/400610/download,XC400610-wbwp1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NJSRNNMTAW/ffts/XC400610-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NJSRNNMTAW/ffts/XC400610-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NJSRNNMTAW/ffts/XC400610-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NJSRNNMTAW/ffts/XC400610-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:00,09:00,2018-01-07,2018-01-25,[''],,yes,no
397105,Dryocopus,javensis,,White-bellied Woodpecker,Marc Anderson,Thailand,"Kaeng Krachan National Park, Ban Krang, KM 15-18, Phetchaburi",12.7989,99.4539,320,call,//www.xeno-canto.org/397105,//www.xeno-canto.org/397105/download,XC397105-Flameback_Mystery_SD463_Kaeng_Krachan1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC397105-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC397105-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC397105-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC397105-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:14,08:00,2017-12-13,2017-12-27,[''],,no,unknown
361209,Dryocopus,javensis,parvus,White-bellied Woodpecker,Ding Li Yong,Indonesia,"Teupah Barat, Kabupaten Simeulue, Aceh",2.4634,96.3007,20,call,//www.xeno-canto.org/361209,//www.xeno-canto.org/361209/download,XC361209-Simeulue Woodpecker_Teupah.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC361209-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC361209-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC361209-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/XC361209-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:36,07:30,2017-03-20,2017-03-25,[''],,yes,no
342690,Dryocopus,javensis,,White-bellied Woodpecker,Niels Poul Dreyer,India,"Thattekad, Ernakulam, Kerala",10.104,76.7005,40,drumming,//www.xeno-canto.org/342690,//www.xeno-canto.org/342690/download,XC342690-White-bellied WP_Thattekkad.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC342690-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC342690-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC342690-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/ffts/XC342690-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:22,09:00,2016-01-16,2016-11-15,['Psilopogon viridis'],,no,no
320204,Dryocopus,javensis,,White-bellied Woodpecker,Ross Gallardy,Philippines,St. Paul's Subterranean N.P.,10.198,118.912,50,call,//www.xeno-canto.org/320204,//www.xeno-canto.org/320204/download,XC320204-WhiteBelliedWoodpecker_Palawan_051116_call2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320204-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320204-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320204-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320204-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,07:00,2016-05-11,2016-06-06,[''],,yes,no
320203,Dryocopus,javensis,,White-bellied Woodpecker,Ross Gallardy,Philippines,St. Paul's Subterranean N.P.,10.198,118.912,50,call,//www.xeno-canto.org/320203,//www.xeno-canto.org/320203/download,XC320203-WhiteBelliedWoodpecker_Palawan_051116_call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320203-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320203-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320203-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC320203-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:24,07:00,2016-05-11,2016-06-06,[''],,yes,no
319054,Dryocopus,javensis,,White-bellied Woodpecker,Shashikant S Naik,India,"Anshi, Uttara Kannada, Karnataka",14.9939,74.3697,550,"call, song",//www.xeno-canto.org/319054,//www.xeno-canto.org/319054/download,XC319054-White-bellied woodpecker.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/USTFEVYGEG/ffts/XC319054-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/USTFEVYGEG/ffts/XC319054-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/USTFEVYGEG/ffts/XC319054-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/USTFEVYGEG/ffts/XC319054-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,11:00,2016-03-10,2016-05-29,[''],,yes,no
295436,Dryocopus,javensis,,White-bellied Woodpecker,Ross Gallardy,Thailand,Mae Ping,17.5667,98.8,440,call,//www.xeno-canto.org/295436,//www.xeno-canto.org/295436/download,XC295436-WhiteBelliedWoodpecker_Thailand_022515_call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC295436-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC295436-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC295436-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC295436-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:42,08:30,2015-02-25,2015-12-16,[''],,yes,no
294128,Dryocopus,javensis,,White-bellied Woodpecker,Greg Irving,Thailand,"Sabsadao Station, Thablan National Park",14.3969,102.1747,280,"both the single and rapid long call, call",//www.xeno-canto.org/294128,//www.xeno-canto.org/294128/download,XC294128-095 Woodpecker - White-bellied (Drycopus javensis feddeni) 'kiyow' & 'kek-kek-kek' NOV 0700 300m SabsadaoTHA_GI_0161.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YWRKFXUDUR/ffts/XC294128-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YWRKFXUDUR/ffts/XC294128-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YWRKFXUDUR/ffts/XC294128-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YWRKFXUDUR/ffts/XC294128-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:36,07:00,2015-11-21,2015-12-08,[''],A pair of birds were foraging loudly in the dry dipterocarp.,yes,no
282486,Dryocopus,javensis,,White-bellied Woodpecker,Pritam Baruah,Malaysia,"Danum Valley Field Centre, Danum Valley, Sabah, Borneo",4.9634,117.8028,160,"call, flight call",//www.xeno-canto.org/282486,//www.xeno-canto.org/282486/download,XC282486-LS110163-white-bellied-woodpecker-dvfc-pritam-baruah.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HALXQIMTRP/ffts/XC282486-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HALXQIMTRP/ffts/XC282486-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HALXQIMTRP/ffts/XC282486-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HALXQIMTRP/ffts/XC282486-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,17:30,2015-08-21,2015-09-24,[''],,unknown,unknown
214024,Dryocopus,javensis,,White-bellied Woodpecker,Pankaj Lad,India,"Khotigao, Uttara Kannada, Goa",14.9721,74.1471,110,call,//www.xeno-canto.org/214024,//www.xeno-canto.org/214024/download,XC214024-Goa Cotigao White-bellied Woodpecker-2 08-Mar-2009 E PRL09_25.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EVDAAZOHYH/ffts/XC214024-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EVDAAZOHYH/ffts/XC214024-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EVDAAZOHYH/ffts/XC214024-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EVDAAZOHYH/ffts/XC214024-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,10:50,2009-03-08,2015-02-20,[''],,yes,no
